design_group_id,nct_id,group_type,title,description
332211581,NCT00517868,OTHER,Crossover 2,URG101 Treatment on Visit 1 followed by Placebo Treatment on Visit 2
332211604,NCT05349760,EXPERIMENTAL,AMB-05X,AMB-05X will be administered every 4 weeks for 24 weeks (for 6 treatments in total).
332211605,NCT05349760,PLACEBO_COMPARATOR,Placebo,Placebo will be administered every 4 weeks for 24 weeks (for 6 treatments in total).
332211678,NCT00483119,ACTIVE_COMPARATOR,Group A,IVIg alone (intravenous immunoglobulin)
332211679,NCT00483119,EXPERIMENTAL,Group B,IVIg with cyclophosphamide
332211731,NCT04190056,EXPERIMENTAL,"Arm A (pembrolizumab, vorinostat, tamoxifen)","Patients receive pembrolizumab IV over 30 minutes on day 1, vorinostat PO QD for 4 days weekly, and tamoxifen PO QD on days 1-21. Cycles repeat every 21 days in the absence of disease progression of unacceptable toxicity."
332211732,NCT04190056,EXPERIMENTAL,"Arm B (pembrolizumab, tamoxifen)",Patients receive pembrolizumab IV over 30 minutes on day 1 and tamoxifen PO QD on days 1-21. Cycles repeat every 21 days in the absence of disease progression of unacceptable toxicity.
332211766,NCT01119118,EXPERIMENTAL,1,ZD4054 + multimodal PET/MRI imaging
332211944,NCT05657457,EXPERIMENTAL,TNK group,
332211945,NCT05657457,NO_INTERVENTION,control group,
332211977,NCT01340794,EXPERIMENTAL,Treatment (pazopanib hydrochloride),Patients receive pazopanib hydrochloride PO QD on days 1-28 (days 1-14 of courses 1 and 2). Courses repeat every 28 days in the absence of disease progression or unacceptable toxicity.
332212007,NCT00511329,EXPERIMENTAL,Somatropin,
332212068,NCT05005000,EXPERIMENTAL,MFAT,
332212069,NCT05005000,ACTIVE_COMPARATOR,Steroid (Control),
332212393,NCT03147040,EXPERIMENTAL,Carboplatin/Atezolizumab,"Carboplatin AUC=1.5, weekly schedule, maximum 12 administrations Atezolizumab, 1200 mg flat dose, 3-weekly schedule, starting after two administrations of carboplatin"
332212426,NCT06105008,EXPERIMENTAL,Disitamab Vedotin + Toripalimab,Disitamab Vedotin（RC48-ADC）with Toripalimab （JS001）arm
332212427,NCT06105008,ACTIVE_COMPARATOR,Disitamab Vedotin,Disitamab Vedotin（RC48-ADC） arm
332212562,NCT01886105,EXPERIMENTAL,SmEDTMP/Autologous Stem Cell Infusion/RT,"DAY 1 Tracer dose 153Sm-EDTMP administration (1 mCi/kg) SPECT/High-resolution CT at 4 hours. SPECT/CT (low resolution) at 24 and 48 hrs~DAY 7 Individualized treatment dose 153Sm-EDTMP administration (max 30 mCi/kg) SPECT scans at 4, 24 and 48 hours~DAY 21 (2 weeks following treatment dose) Auto-Stem cell infusion~DAY 40 (approx. two weeks after stem cell rescue) Initiate EBT upon count recovery~1 MONTH following completion of all therapy Response assessment with repeat imaging (CT/MRI, Tc-99m bone scan) 18F-MISO/FDG PET"
332212628,NCT04784455,EXPERIMENTAL,nomacopan (rVA576),The study population will consist of paediatric patients who have undergone allogeneic or autologous haematopoietic stem cell transplantation (HSCT) and develop transplant-associated thrombotic microangiopathy (HSCT-TMA) within a year of HSCT
332212650,NCT05495724,EXPERIMENTAL,Disitamab Vedotin and Tislelizumab,Disitamab Vedotin 120mg IV on day 1 in combination with Tislelizumab 200mg IV on day 2 every 3 weeks for 3 or 4 cycles followed by transurethral resection biopsy.
332212651,NCT05495724,OTHER,Disitamab Vedotin,Disitamab Vedotin 120mg IV on day 1 every 3 weeks for 3 or 4 cycles followed by transurethral resection biopsy.
332213041,NCT00003452,EXPERIMENTAL,Antineoplastons,Antineoplaston therapy (Atengenal + Astugenal) by IV infusion every four hours for at least 12 months. Study subjects receive increasing dosages of Atengenal and Astugenal until the maximum tolerated dose is reached.
331574681,NCT01419795,EXPERIMENTAL,"Arm I (lenalidomide, rituximab)","Patients who have relapsed/progressed within 180 days post-transplant (Cohort 1), beyond day 180 post-transplant (Cohort 2), or within 6 months but were not started within 3 months of relapse, receive lenalidomide PO QD on days 1-28 (patients with CLL/SLL/PLL) or days 1-21 (patients with NHL). Patients in Cohorts 1 and 2 also receive rituximab IV on days 1, 8, 15, and 22 of course 1 and then every two months for courses 3, 5, 7, 9, and 11."
331574682,NCT01419795,ACTIVE_COMPARATOR,Arm II (lenalidomide),"Patients who have relapsed/progressed at any time point post-transplant and who have contraindications, prior severe hypersensitivity reaction to rituximab infusion, to receive rituximab or have CD20 negative disease (Cohort 3) receive lenalidomide as in Arm I."
331576555,NCT00313014,ACTIVE_COMPARATOR,BTDS 5,Buprenorphine transdermal patch 5 mcg/h applied for 7-day wear.
331576556,NCT00313014,EXPERIMENTAL,BTDS 20,Buprenorphine transdermal patch 20 mcg/h applied for 7-day wear.
331576557,NCT00313014,EXPERIMENTAL,Oxycodone Immediate-Release,Oxycodone immediate-release 40 mg (two 5-mg capsules every 6 hours).
331576790,NCT03532542,EXPERIMENTAL,Casimersen,"Patients amenable to exon 45 skipping who have completed a clinical trial evaluating casimersen will receive open-label casimersen intravenous (IV) infusions, weekly, at 30 mg/kg for up to 144 Weeks."
331576791,NCT03532542,EXPERIMENTAL,Golodirsen,"Patients amenable to exon 53 skipping who have completed a clinical trial evaluating golodirsen will receive open-label golodirsen intravenous (IV) infusions, weekly, at 30 mg/kg for up to 144 Weeks."
332247252,NCT01829464,PLACEBO_COMPARATOR,Placebo,"TAK-875 placebo-matching tablets, orally, once daily and sitagliptin 100 mg, tablets, orally for up 24 weeks."
332247253,NCT01829464,EXPERIMENTAL,TAK-875 25 mg,"TAK-875 25 mg, tablets, orally, once daily and sitagliptin 100 mg, tablets, orally for up to 24 weeks"
332247254,NCT01829464,EXPERIMENTAL,TAK-875 50 mg,"TAK-875 50 mg, tablets, orally, once daily and sitagliptin 100 mg, tablets, orally for up to 24 weeks"
332247686,NCT03432195,EXPERIMENTAL,Donepezil TDS Back,Corplex Donepezil TDS 10 mg/day applied to the Back for 1 week (7 days)
332247687,NCT03432195,EXPERIMENTAL,Donepezil TDS Buttock,Corplex Donepezil TDS 10 mg/day applied to the Buttock for 1 week (7 days)
332247688,NCT03432195,EXPERIMENTAL,Donepezil TDS Leg,Corplex Donepezil TDS 10 mg/day applied to the Leg for 1 week (7 days)
331790518,NCT00406419,PLACEBO_COMPARATOR,Placebo × 2 IV + MTX,Participants received two intravenous (IV) infusion matching placebo to ocrelizumab on Day 1 and Day 15. A repeat course was administered at Weeks 24 and 26. Methotrexate 7.5-25 milligram (mg) was administered weekly.
331790519,NCT00406419,EXPERIMENTAL,Ocrelizumab 200 mg × 2 IV + MTX,Participants received two IV infusion of ocrelizumab 200 mg on Day 1 and Day 15. A repeat course was administered at Weeks 24 and 26. Methotrexate 7.5-25 mg was administered weekly.
331790520,NCT00406419,PLACEBO_COMPARATOR,Ocrelizumab 500 mg × 2 IV + MTX,Participants received two IV infusion of ocrelizumab 500 mg on Day 1 and Day 15. A repeat course was administered at Weeks 24 and 26. Methotrexate 7.5-25 mg was administered weekly.
331792135,NCT06536465,EXPERIMENTAL,REC-3964 High-dose,Participants will receive 500 mg REC-3964 q12h REC-3964 250 mg capsules
331792136,NCT06536465,EXPERIMENTAL,REC-3964 Low-dose,Participants will receive 250 mg REC-3964 q12h REC-3964 250 mg capsules
331792137,NCT06536465,NO_INTERVENTION,Observation,Participants will undergo watchful waiting
